Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,15.870000,17.320000,15.610000,17.320000,9.543897,0
2007-02-01,17.400000,18.080000,16.730000,16.889999,9.306953,0
2007-03-01,16.719999,16.740000,15.750000,16.260000,8.959802,0
2007-04-01,16.430000,16.639999,16.150000,16.190001,9.009492,0
2007-05-01,16.040001,16.290001,15.100000,16.219999,9.026185,0
2007-06-01,16.250000,16.340000,14.600000,14.620000,8.135811,0
2007-07-01,14.960000,15.280000,13.360000,13.530000,7.614249,0
2007-08-01,13.630000,14.270000,13.020000,14.070000,7.918146,0
2007-09-01,14.250000,14.780000,13.630000,14.650000,8.244549,0
2007-10-01,14.930000,15.590000,14.210000,14.960000,8.464574,0
2007-11-01,14.400000,14.400000,12.620000,13.550000,7.666775,0
2007-12-01,13.430000,14.160000,10.700000,11.000000,6.223951,0
2008-01-01,10.900000,10.950000,9.850000,10.810000,7.123766,0
2008-02-01,11.210000,11.210000,10.270000,10.440000,6.879938,0
2008-03-01,10.530000,11.450000,10.050000,10.960000,7.222615,0
2008-04-01,11.570000,11.970000,11.050000,11.630000,7.758867,0
2008-05-01,11.910000,11.980000,11.340000,11.570000,7.718838,0
2008-06-01,11.370000,11.800000,10.260000,10.270000,6.851552,0
2008-07-01,10.290000,10.870000,9.520000,10.500000,7.068638,0
2008-08-01,10.500000,11.150000,10.290000,10.680000,7.189819,0
2008-09-01,10.790000,11.300000,9.900000,10.510000,7.075371,0
2008-10-01,10.270000,10.270000,5.910000,7.410000,5.023018,0
2008-11-01,7.090000,7.500000,4.280000,5.610000,3.802851,0
2008-12-01,4.540000,6.540000,4.540000,6.510000,4.412934,0
2009-01-01,6.300000,6.510000,5.130000,5.350000,3.660127,0
2009-02-01,5.430000,5.600000,4.230000,4.230000,2.893896,0
2009-03-01,3.920000,4.780000,3.760000,4.350000,2.975991,0
2009-04-01,4.310000,5.750000,4.310000,5.660000,3.901171,0
2009-05-01,5.430000,5.940000,5.250000,5.800000,3.997666,0
2009-06-01,6.020000,6.100000,5.260000,5.540000,3.818460,0
2009-07-01,5.600000,6.080000,5.100000,6.070000,4.215244,0
2009-08-01,6.170000,7.010000,6.170000,6.840000,4.749962,0
