Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,100.739998,110.839996,98.330002,110.290001,69.708733,10244100
2007-02-01,110.489998,116.320000,105.250000,107.199997,67.755684,12829800
2007-03-01,106.480003,107.470001,99.320000,102.930000,65.056847,10667900
2007-04-01,102.980003,106.570000,102.099998,104.180000,66.298988,5092100
2007-05-01,103.120003,103.639999,93.820000,102.279999,65.089821,9610300
2007-06-01,102.949997,103.349998,88.989998,90.500000,57.593159,12220500
2007-07-01,90.529999,95.500000,82.430000,83.930000,53.816502,13511500
2007-08-01,83.629997,90.830002,79.860001,89.339996,57.285446,23691700
2007-09-01,88.769997,94.790001,85.750000,93.230003,59.779713,12586900
2007-10-01,93.410004,99.559998,88.599998,94.050003,60.753822,16652500
2007-11-01,92.959999,93.029999,77.910004,84.849998,54.810871,26267000
2007-12-01,84.970001,89.790001,76.510002,79.139999,51.122368,20869100
2008-01-01,78.279999,80.239998,61.000000,78.489998,51.399303,39987900
2008-02-01,79.000000,82.209999,73.839996,75.419998,49.388943,39000800
2008-03-01,75.290001,83.769997,71.769997,80.389999,52.643532,32497800
2008-04-01,81.610001,88.500000,81.070000,85.580002,56.626720,29132000
2008-05-01,85.779999,88.889999,82.599998,85.199997,56.375317,11509900
2008-06-01,84.699997,86.930000,74.190002,75.139999,49.718769,15135600
2008-07-01,75.440002,81.800003,68.000000,77.110001,51.530544,42413200
2008-08-01,77.470001,83.349998,75.000000,78.750000,52.626553,25090200
2008-09-01,79.849998,88.449997,70.000000,76.680000,51.243198,38830800
2008-10-01,76.199997,76.279999,40.070000,51.610001,34.903011,62092400
2008-11-01,51.200001,52.540001,26.809999,39.349998,26.611765,50289200
2008-12-01,37.660000,47.919998,30.370001,44.180000,29.878204,58893600
2009-01-01,44.220001,44.830002,34.180000,36.090000,25.002598,43917900
2009-02-01,35.049999,37.400002,26.920000,27.520000,19.065437,50571400
2009-03-01,26.730000,31.870001,23.040001,27.760000,19.231705,66920200
2009-04-01,27.340000,38.450001,26.920000,36.779999,25.945765,66662000
2009-05-01,36.900002,39.529999,33.570000,38.099998,26.876925,45913900
2009-06-01,38.849998,41.029999,33.730000,35.939999,25.353189,28750200
2009-07-01,36.169998,40.320000,32.000000,39.689999,28.447035,20119800
2009-08-01,40.349998,47.599998,39.709999,45.599998,32.682903,28665100
2009-09-01,45.340000,53.040001,42.000000,48.619999,34.847431,27600100
2009-10-01,48.389999,49.730000,44.950001,46.240002,33.421734,29968700
2009-11-01,46.450001,51.230000,45.000000,49.700001,35.922581,26998100
2009-12-01,50.090000,55.150002,49.540001,52.520000,37.960838,22238300
2010-01-01,53.090000,53.480000,48.849998,49.320000,35.970142,26238700
2010-02-01,49.630001,52.849998,47.230000,52.119999,38.012238,29418700
2010-03-01,52.369999,59.270000,52.369999,57.279999,41.775539,19665400
2010-04-01,57.549999,63.770000,57.000000,61.360001,45.119354,21521900
2010-05-01,61.869999,63.950001,53.459999,58.430000,42.964859,34890500
2010-06-01,57.320000,61.730000,53.419998,54.910000,40.376522,22297800
2010-07-01,54.790001,61.610001,52.099998,60.560001,44.874340,20154700
2010-08-01,61.549999,62.849998,57.450001,59.950001,44.422325,17901900
2010-09-01,60.869999,65.370003,60.660000,61.910000,45.874664,10288300
2010-10-01,62.320000,66.599998,61.430000,64.519997,48.164516,9549700
2010-11-01,64.830002,68.120003,60.889999,63.160000,47.149281,9237100
2010-12-01,64.010002,66.269997,62.410000,65.720001,49.060333,13014700
2011-01-01,66.110001,69.059998,64.690002,68.500000,51.553711,12301900
2011-02-01,68.900002,71.690002,67.879997,71.669998,53.939484,10630400
2011-03-01,71.870003,71.870003,66.930000,70.129997,52.780487,14903500
2011-04-01,70.360001,75.040001,68.570000,74.300003,56.316601,9662800
2011-05-01,74.639999,75.660004,72.089996,75.620003,57.317116,11755900
2011-06-01,75.529999,75.529999,69.830002,72.510002,54.959846,12314000
2011-07-01,72.739998,76.559998,72.419998,73.849998,56.366707,11775500
2011-08-01,74.519997,74.519997,58.919998,69.870003,53.328911,21995600
2011-09-01,69.690002,70.129997,61.330002,61.360001,46.833580,12847500
2011-10-01,60.910000,71.599998,56.830002,70.489998,54.251137,18269500
2011-11-01,68.370003,70.809998,62.750000,67.669998,52.080788,13358600
2011-12-01,67.449997,71.209999,65.650002,70.220001,54.043343,11726000
2012-01-01,71.489998,75.099998,68.910004,74.440002,57.771763,10962000
